구분	일자 일시	차량구분	위도	경도
RM	2024-11-30 00:03:32.00	1222985050	37.648916	126.889920
RM	2024-11-30 00:03:33.00	1222985050	37.648844	126.889960
RM	2024-11-30 00:03:34.00	1222985050	37.648784	126.890000
RM	2024-11-30 00:03:35.00	1222985050	37.648736	126.890032
RM	2024-11-30 00:03:36.00	1222985050	37.648688	126.890056
RM	2024-11-30 00:03:37.00	1222985050	37.648644	126.890072
RM	2024-11-30 00:03:38.00	1222985050	37.648596	126.890088
RM	2024-11-30 00:03:39.00	1222985050	37.648556	126.890104
RM	2024-11-30 00:03:40.00	1222985050	37.648516	126.890096
RM	2024-11-30 00:03:41.00	1222985050	37.648504	126.890040
RM	2024-11-30 00:03:42.00	1222985050	37.648488	126.889984
RM	2024-11-30 00:03:43.00	1222985050	37.648480	126.889920
RM	2024-11-30 00:03:44.00	1222985050	37.648460	126.889856
RM	2024-11-30 00:03:45.00	1222985050	37.648440	126.889784
RM	2024-11-30 00:03:46.00	1222985050	37.648416	126.889712
RM	2024-11-30 00:03:47.00	1222985050	37.648384	126.889624
RM	2024-11-30 00:03:48.00	1222985050	37.648356	126.889552
RM	2024-11-30 00:03:49.00	1222985050	37.648328	126.889472
RM	2024-11-30 00:03:50.00	1222985050	37.648312	126.889408
RM	2024-11-30 00:03:51.00	1222985050	37.648288	126.889344
RM	2024-11-30 00:03:52.00	1222985050	37.648264	126.889280
RM	2024-11-30 00:03:53.00	1222985050	37.648244	126.889240
RM	2024-11-30 00:03:54.00	1222985050	37.648224	126.889192
RM	2024-11-30 00:03:55.00	1222985050	37.648204	126.889144
RM	2024-11-30 00:03:56.00	1222985050	37.648180	126.889112
RM	2024-11-30 00:03:57.00	1222985050	37.648160	126.889088
RM	2024-11-30 00:03:58.00	1222985050	37.648136	126.889088
RM	2024-11-30 00:03:59.00	1222985050	37.648116	126.889096
RM	2024-11-30 00:04:00.00	1222985050	37.648096	126.889104
RM	2024-11-30 00:04:01.00	1222985050	37.648080	126.889120
RM	2024-11-30 00:04:02.00	1222985050	37.648072	126.889120
RM	2024-11-30 00:04:03.00	1222985050	37.648064	126.889128
RM	2024-11-30 00:04:04.00	1222985050	37.648064	126.889128
RM	2024-11-30 00:04:05.00	1222985050	37.648064	126.889128
RM	2024-11-30 00:04:06.00	1222985050	37.648064	126.889128
RM	2024-11-30 00:04:07.00	1222985050	37.648064	126.889128
RM	2024-11-30 00:04:08.00	1222985050	37.648088	126.889208
RM	2024-11-30 00:04:09.00	1222985050	37.648088	126.889240
RM	2024-11-30 00:04:10.00	1222985050	37.648088	126.889256
RM	2024-11-30 00:04:11.00	1222985050	37.648096	126.889288
RM	2024-11-30 00:04:12.00	1222985050	37.648096	126.889312
RM	2024-11-30 00:04:13.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:14.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:15.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:16.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:17.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:18.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:19.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:20.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:21.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:22.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:23.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:24.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:25.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:26.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:27.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:28.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:29.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:30.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:31.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:32.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:33.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:34.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:35.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:36.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:37.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:38.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:39.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:40.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:41.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:42.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:43.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:44.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:45.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:46.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:47.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:48.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:49.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:50.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:51.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:52.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:53.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:54.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:55.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:56.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:57.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:58.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:04:59.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:00.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:01.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:02.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:03.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:04.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:05.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:06.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:07.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:08.00	1222985050	37.648088	126.889320
RM	2024-11-30 00:05:09.00	1222985050	37.648100	126.889440
RM	2024-11-30 00:05:10.00	1222985050	37.648120	126.889464
RM	2024-11-30 00:05:11.00	1222985050	37.648140	126.889488
RM	2024-11-30 00:05:12.00	1222985050	37.648148	126.889520
RM	2024-11-30 00:05:13.00	1222985050	37.648168	126.889560
RM	2024-11-30 00:05:14.00	1222985050	37.648180	126.889584
RM	2024-11-30 00:05:15.00	1222985050	37.648212	126.889616
